name,id,lat,long,type,tags,rank,mostSimilar,top3InTransitions,top3OutTransitions,outTransFrequency
Geomuseum Radein,31,46.34689764182887,11.396798600521931,Museum,"['protected natural heritage', 'indoor', 'outdoor']",48.0,"['Fremdenverkehrsmuseum Hochpustertal', 'Museum Schloss Moos-Schulthaus', 'Mineralienmuseum Kirchler']","['Tourism_Agency_Events', 'Südtiroler Archäologiemuseum', 'Acquarena']","['Südtiroler Archäologiemuseum', 'Acquarena', 'Nesselbahn']",3
Gitschberg Meransen,35,46.82249178021871,11.665001313297653,Transport,"['events', 'sport and recreation facilities', 'tourism paths, trails and roads', 'outdoor', 'food&shopping']",99.0,"['Nesselbahn', 'Jochtal', 'Skilift Terenten']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']",0
Imkereimuseum Plattner-Bienenhof,37,46.525074700000005,11.4277201,Museum,"['fauna', 'cultural and religious institutions', 'outdoor', 'food&shopping']",27.0,"['Weinbaumuseum - Schloss Rametz', 'Archeoparc', 'Südtiroler Obstbaumuseum']","['Schloss Velthurns', 'Plose', 'Messner Mountain Museum Firmian']","['Südtiroler Archäologiemuseum', 'Acquarena', 'Nesselbahn']",22
Jaufenburg,38,46.8017003,11.238905099999998,Museum,"['cultural and religious institutions', 'tourism paths, trails and roads', 'indoor', 'outdoor']",99.0,"['Rohrerhaus', 'Museum Schloss Moos-Schulthaus', 'Archeoparc Villanders']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']",0
Jochtal,41,46.842407,11.627124,Transport,"['events', 'sport and recreation facilities', 'tourism paths, trails and roads', 'outdoor', 'food&shopping']",99.0,"['Nesselbahn', 'Gitschberg Meransen', 'Skilift Terenten']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']",0
K.u.k. Museum Bad Egart,42,46.672940000000004,11.082018699999999,Museum,"['cultural and religious institutions', 'indoor']",40.0,"['Kuratorium des Stiftes Innichen', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Südtiroler Bergbaumuseum Kornkasten Steinhaus']","['Plose', 'Acquarena', 'Naturmuseum Südtirol']","['Plose', 'Acquarena', 'Naturmuseum Südtirol']",18
Pfannenspitze,43,46.691322148611434,11.745305323526795,Transport,"['events', 'sport and recreation facilities', 'tourism paths, trails and roads', 'outdoor', 'food&shopping']",3.0,"['Nesselbahn', 'Gitschberg Meransen', 'Jochtal']","['Plose', 'Palmschoß', 'Festung Franzensfeste']","['Plose', 'Palmschoß', 'Acquarena']",5731
Kloster St. Johann in Müstair,44,46.62963010000001,10.448661,Museum,"['protected cultural heritage', 'cultural and religious institutions', 'indoor']",72.0,"['Kuratorium des Stiftes Innichen', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Südtiroler Bergbaumuseum Kornkasten Steinhaus']","['Eisenbahnwelt', 'Acquarena', 'Palmschoß']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']",0
Krippenmuseum Maranatha,45,46.95183270487274,11.919201111627507,Museum,"['cultural and religious institutions', 'indoor']",25.0,"['Kuratorium des Stiftes Innichen', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Südtiroler Bergbaumuseum Kornkasten Steinhaus']","['Schloss Rodenegg', 'Acquarena', 'Schwimmbad Alpinpool']","['Tourism_Agency_Events', 'Acquarena', 'Naturmuseum Südtirol']",45
kunst Meran,46,46.6715742,11.1623024,Museum,"['events', 'cultural and religious institutions', 'indoor']",51.0,"['Tauferer Torturm', 'Museum Ladin Ursus ladinicus', 'Feuerwehrhelmmuseum']","['Schloss Runkelstein', 'Frauenmuseum', 'Tourism_Agency_Events']","['Acquarena', 'Pharmaziemuseum Brixen', 'Schwimmbad Alpinpool']",4
Kuratorium des Stiftes Innichen,47,46.733188369368385,12.282819235196085,Museum,"['cultural and religious institutions', 'indoor']",99.0,"['Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Südtiroler Bergbaumuseum Kornkasten Steinhaus', 'Landwirtschafts-museum Brunnenburg']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']",0
Landesfürstliche Burg,49,46.6728533,11.162173699999999,Museum,"['cultural and religious institutions', 'indoor']",34.0,"['Kuratorium des Stiftes Innichen', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Südtiroler Bergbaumuseum Kornkasten Steinhaus']","['Stadtmuseum Meran', 'Tourism_Agency_Events', 'Südtiroler Landesmuseum für Kultur- und Landesgeschichte -  Schloss Tirol']","['Stadtmuseum Meran', 'Südtiroler Landesmuseum für Kultur- und Landesgeschichte -  Schloss Tirol', 'Frauenmuseum']",15
Landwirtschafts-museum Brunnenburg,50,46.6922631930762,11.148139396829711,Museum,"['cultural and religious institutions', 'indoor']",57.0,"['Kuratorium des Stiftes Innichen', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Südtiroler Bergbaumuseum Kornkasten Steinhaus']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']","['Südtiroler Landesmuseum für Kultur- und Landesgeschichte -  Schloss Tirol', 'Acquarena', 'Naturmuseum Südtirol']",3
Lodenwelt,51,46.815605600000005,11.736919699999998,Museum,"['events', 'indoor', 'food&shopping']",99.0,"['Erlebniswelt Capriz', 'Tauferer Torturm', 'Museum Ladin Ursus ladinicus']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']",0
